pagePath,screenPageViews,activeUsers,averageSessionDuration,engagementRate
/,418,61,228.484120308642,0.30864197530864196
/posts/hay-fever-goods/,42,2,432.10748675,1
/posts/roomba-mini/,24,7,425.7642269,0.6
/posts/robot-vacuum/,23,2,372.85962171428571,1
/posts/wireless-earbuds/,17,1,234.34227466666667,1
/contact/,15,4,31.03215,0.75
/privacy/,12,3,173.70685,1
/posts/desk-chair/,10,2,123.78451825,1
/about/,7,3,248.533957,1
/categories/レビュー/,7,4,4.27186,1
/categories/,5,3,15.494282,1
/archives/,4,5,2.160113,0.6
/posts/rakuten-mobile-guide/,4,2,166.88300266666667,1
/posts/name-stickers/,3,1,451.269484,1
/posts/rakuten-mobile-review/,3,2,73.747249333333329,1
/search/,3,2,2.1811995,1
/posts/brita-water-purifier/,2,2,37.400087,1
/posts/kids-water-bottle-guide/,2,2,80.0726095,1
/tags/nothing-phone/,2,2,0.851616,0.5
/cmd_sco,1,1,4.994951,0
/favicon.ico,1,1,11.493867,1
/posts/2026-02-21-ロボット掃除機/,1,1,9.468537,1
/posts/dishwasher-tabletop/,1,1,2.342246,0
/posts/wireless-earphones-ranking/,1,1,0,0
/tags/,1,1,1.069863,1
/tags/ノイズキャンセリング/,1,1,0,0
/tags/ルンバ/,1,1,2.645127,0
/tags/ワイヤレスイヤホン/,1,1,1.966785,1
/tags/楽天モバイル/,1,1,3.633209,0
